sale_date,channel,total_sales,forecast_sales
2025-05-19,E-commerce,5722.5,
2025-05-20,E-commerce,4068.14,
2025-05-21,E-commerce,4178.51,
2025-05-22,E-commerce,3963.05,
2025-05-23,E-commerce,4427.36,
2025-05-24,E-commerce,1864.61,
2025-05-25,E-commerce,2368.71,
2025-05-26,E-commerce,3829.67,
2025-05-27,E-commerce,4050.57,
2025-05-28,E-commerce,3832.37,
2025-05-29,E-commerce,1600.3,
2025-05-30,E-commerce,2010.47,
2025-05-31,E-commerce,3266.13,
2025-06-01,E-commerce,0.0,
2025-06-02,E-commerce,0.0,
2025-06-03,E-commerce,0.0,
2025-06-04,E-commerce,2490.6,
2025-06-05,E-commerce,1517.5,
2025-06-06,E-commerce,3739.86,
2025-06-07,E-commerce,0.0,
2025-06-08,E-commerce,0.0,
2025-06-09,E-commerce,0.0,
2025-06-10,E-commerce,0.0,
2025-06-11,E-commerce,0.0,
2025-06-12,E-commerce,0.0,
2025-06-13,E-commerce,3741.29,
2025-06-14,E-commerce,4141.64,
2025-06-15,E-commerce,3279.05,
2025-06-16,E-commerce,3597.82,
2025-06-17,E-commerce,3034.13,
2025-06-18,E-commerce,,2268.3710054054054
2025-06-19,E-commerce,,2267.8278844950214
2025-06-20,E-commerce,,2267.2847635846374
2025-06-21,E-commerce,,2266.741642674253
2025-06-22,E-commerce,,2266.198521763869
2025-06-23,E-commerce,,2265.655400853485
2025-06-24,E-commerce,,2265.112279943101
